what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1270202310703
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1270202310704
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1270202310704
started,bundle,org.tigris.subversion.clientadapter,1.6.4.1,"org.tigris.subversion.clientadapter",1270202310705
started,bundle,org.tigris.subversion.subclipse.core,1.6.5,"org.tigris.subversion.subclipse.core",1270202310705
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1270202310705
os,sysinfo,,,"linux",1270202310710
arch,sysinfo,,,"x86",1270202310710
ws,sysinfo,,,"gtk",1270202310710
locale,sysinfo,,,"fr_FR",1270202310710
processors,sysinfo,,,"2",1270202310710
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270202310710
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1270202310710
java.specification.name,sysinfo,,,"Java Platform API Specification",1270202310710
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270202310710
java.specification.version,sysinfo,,,"1.6",1270202310710
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1270202310710
java.version,sysinfo,,,"1.6.0_17",1270202310710
java.vm.info,sysinfo,,,"mixed mode, sharing",1270202310710
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270202310710
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270202310710
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270202310710
java.vm.specification.version,sysinfo,,,"1.0",1270202310710
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1270202310710
java.vm.version,sysinfo,,,"14.3-b01",1270202310710
